"Tree Level 1","Country-Code","Country","Direction","Classification","Digit","Industry/Product","Unit","Footnotes","Sources",_2000,_2001,_2002,_2003,_2004,_2005,_2006,_2007,_2008,_2009,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,_2020,_2021
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CI  Computer, electronic, optical products","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-0.4775597,0.6266914,0.5240655,-7.9470716,0.9122008,0.7842287,3.617996,4.7808925,-5.620124,-0.538126,0.7793663,-0.431727
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CJ  Electrical equipment","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-3.7810822,-0.4683565,4.786817,1.5471506,11.6539351,0.0190608,-3.0108146,-23.2231453,12.2676869,55.1650194,28.3294527,67.5976985
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CJ  Electrical equipment","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-0.3594943,-0.0343421,0.5307069,0.9348629,3.5763874,-0.0012644,-2.0374294,-7.6597578,-10.9621641,7.1382803,6.3431014,4.1800408
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CK  Machinery and equipment n.e.c.","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,18.6779887,6.7243634,-5.8790795,8.382838,-1.9376452,-0.4482951,5.1659084,10.7292874,7.2130987,15.1075536,-4.3628399,20.3198504
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CK  Machinery and equipment n.e.c.","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,1.7758491,0.4930626,-0.6518043,5.0653145,-0.5946292,0.0297366,3.4957893,3.5388722,-6.4454834,1.9548974,-0.9768609,1.2565192
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CL  Transport equipment","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,-19.4799908,-19.0136925,3.7085579,-0.8293264,45.4665462,54.3657965,21.249055,22.0949793,46.1254886,8.3612444,39.9391691,63.4564617
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CL  Transport equipment","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,-1.8521011,-1.3941751,0.411162,-0.501119,13.9528822,-3.6062216,14.379314,7.2876515,-41.2168309,1.0819339,8.942573,3.923959
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CM  Other manufacturing, repair, install.of mach. & equip.","EUR m","-","National Bank of Kazakhstan",.,.,.,.,.,.,.,.,.,.,4.2668018,2.2548635,3.3351348,25.5243487,6.249652,136.1888934,25.1629523,25.3122555,-111.2759668,34.2005181,13.9951544,13.006868
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 2","NACE 2-letter - Manufacturing","CM  Other manufacturing, repair, install.of mach. & equip.","in % of total manufacturing","-","National Bank of Kazakhstan, wiiw",.,.,.,.,.,.,.,.,.,.,0.4056752,0.1653374,0.3697612,15.4230409,1.9179081,-9.0337559,17.0278627,8.3488151,99.4340189,4.4255017,3.1335827,0.8043061
"FDI by activities","KZ","Kazakhstan","FDI inflow","NACE Rev. 1","NACE 1-letter","Total by activities","EUR m","Equity + reinvestment of earnings + debt instruments - valid for all activities. Based on BPM5, directional principle.","National Bank of Kazakhstan",1356.2628348,3142.0536254,2744.165441,1853.9093548,3345.6311406,1583.4424858,5001.6948127,8123.0011923,9731.7413432,9496.6391968,8108.9964969,9274.0881767,.,.,.,.,.,.,.,.,.,.
